"rep.sent","dem.sent","trump.sent","rep.ntweets","dem.ntweets","trump.ntweets","dollar","dow.jones","covid.cases","Fecha"
0.112002993036841,0.183943971556424,0.0768342766605655,273,305,42,0.92738569971251,18591.93,16354,2020-03-23
0.196395054648548,0.148877126755672,0.0713030125653717,280,474,45,0.922253988748501,20704.91,20341,2020-03-24
0.196473283646773,0.165516360568645,0.0973273579665691,274,378,31,0.923616883716634,21200.55,0,2020-03-25
0.16687612040279,0.133005185650806,0.0764477852506196,295,395,8,0.91066387396412,22552.17,16420,2020-03-26
0.175936379238555,0.17037865279627,0.220132728990324,274,374,19,0.910995718320124,21636.78,0,2020-03-27
0.160156817386694,0.183050234217039,0.0302327719333671,155,184,30,0.908471496706791,22439.825,16894,2020-03-28
0.142244619375091,0.158344602813848,0.135443731822198,139,190,36,0.911867961519172,21776.97,18093,2020-03-29
0.192353796979724,0.17678394303359,0.148646708610284,259,349,15,0.906289650172195,22327.48,19332,2020-03-30
0.18628362121376,0.179263136589049,0.0981033622866344,283,296,24,0.912741876597298,21917.16,17987,2020-03-31
0.165413148735933,0.144865935702209,0.136981717290648,293,333,7,0.91441111923921,20943.51,22559,2020-04-01
0.153229079531421,0.16858127130987,0.156662468889535,386,378,15,0.916926462497708,21413.44,24103,2020-04-02
0.181192975268551,0.128863481399394,0.303079531123993,340,294,15,0.927213722763097,21052.53,26298,2020-04-03
0.162614214414724,0.224117140238047,0.202824668836688,205,229,51,0.921786422086003,22046.715,28103,2020-04-04
0.149478623225066,0.206466720557774,0.0357254625515299,109,132,37,0.922934933087217,21853.195,32105,2020-04-05
0.195018891803429,0.160240227350506,0.0243948459971949,325,290,20,0.926698174404596,22679.99,33510,2020-04-06
0.167169108625223,0.175058572575893,0.14640414492573,244,317,18,0.91869545245751,22653.86,26493,2020-04-07
0.227434972128418,0.195007363407023,0.0175725317191369,293,279,20,0.919878576027964,23433.57,29510,2020-04-08
0.206494443015731,0.195107953864533,0.194458131136541,256,316,8,0.920217171252416,23719.37,31709,2020-04-09
0.219391372975815,0.179296585427319,0.0684982875545776,317,310,79,0.919878576027964,23433.57,30859,2020-04-10
0.221022543682559,0.229768628259814,0.138702161512836,90,180,17,0.920217171252416,23555.07,35386,2020-04-11
0.326891136820477,0.315012964798876,0.0845178856658755,83,118,38,0.912159080543647,23949.76,31606,2020-04-12
0.18142381844185,0.218663866446031,0.12958833910097,240,231,23,0.917178758139961,23390.77,31633,2020-04-13
0.186603523072,0.159067746810245,0.0962366569135462,222,264,16,0.912159080543647,23949.76,29308,2020-04-14
0.168392002433015,0.183665556367569,0.241546224810818,267,305,12,0.917178758139961,23504.35,24446,2020-04-15
